,generator,base_0,base_1,base_2,base_3,base_4
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-50.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-7.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-49.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-27.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-13.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-28.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-95.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-45.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-94.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-9.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-26.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-62.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
